Category,Prompt,Emotion1,Emotion2,Emotion3,Emotion4,Emotion5
Carrera Profesional,Analiza el burnout y prevención,Preocupado,Empático,Preventivo,Reflexivo,Recuperador
Carrera Profesional,Explica networking en la era digital,Conectado,Práctico,Estratégico,Social,Oportunista
Carrera Profesional,Habla sobre cambio de carrera en mediana edad,Valiente,Reflexivo,Transformador,Motivado,Incierto
Carrera Profesional,Discute liderazgo efectivo,Líder,Inspirado,Empático,Decisivo,Colaborativo
Carrera Profesional,Describe habilidades para el futuro del trabajo,Preparado,Innovador,Curioso,Adaptable,Esencial
Carrera Profesional,Analiza la gig economy,Independiente,Flexible,Riesgoso,Emprendedor,Lucrativo
Carrera Profesional,Explica mentoría y su valor,Grato,Inspirado,Apoyo,Reflexivo,Desarrollador
Vida Familiar,Habla sobre crianza en la era digital,Preocupado,Adaptable,Educativo,Protectivo,Moderno
Vida Familiar,Discute el tiempo de calidad con familia,Grato,Importante,Unido,Reflexivo,Amoroso
Vida Familiar,Describe tradiciones familiares,Nostálgico,Caluroso,Cultural,Unido,Divertido
Vida Familiar,Analiza el balance entre trabajo y familia,Estresado,Práctico,Importante,Armonioso,Comprometido
Vida Familiar,Explica comunicación en la familia,Empático,Abierta,Esencial,Reflexivo,Mejorador
Vida Familiar,Habla sobre mascotas como parte de la familia,Afectuoso,Divertido,Responsable,Alegre,Comprometido
Vida Familiar,Discute planificación familiar en 2025,Reflexivo,Práctico,Futurista,Comprometido,Esperanzado
Vida Familiar,Describe vacaciones familiares,Excitado,Nostálgico,Aventurero,Unido,Relajado
Vida Familiar,Analiza el rol de los abuelos,Grato,Respetuoso,Apoyo,Nostálgico,Valioso
Vida Familiar,Explica manejo de conflictos familiares,Empático,Resolutivo,Calmado,Reflexivo,Unificador
